id,score_date,segment_smb,segment_non_smb,segment_commercial,segment_enterprise,segment_midmarket,region_emea,region_apac,region_latam,region_amer,customer_age_quarters,sales_assisted,legacy_flag,product_counts,billing_dunning_not_ok,crm_industry_current,crm_employee_range,crm_success_owner_change
JMAN_14450264,2023-03-17,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,1.0,0.0,Technology,Oct-49,0.0
JMAN_18839586,2023-02-10,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,Transportation,01-Sep,0.0
JMAN_12250851,2023-03-03,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,Financial Services,01-Sep,0.0
JMAN_9601250,2023-01-13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,5.0,0.0,Manufacturing & Resources,01-Sep,0.0
JMAN_9016831,2023-01-27,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,1.0,0.0,3.0,0.0,Technology,100 - 249,0.0
JMAN_18411228,2023-01-06,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,1.0,0.0,Consumer Services,50 - 99,0.0
JMAN_10361494,2023-03-24,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,1.0,"Retail, Wholesale & Distribution",01-Sep,0.0
JMAN_18409952,2023-01-13,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,1.0,0.0,Corporate Services,Oct-49,0.0
JMAN_2468132,2023-02-17,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,3.0,0.0,Corporate Services,Oct-49,0.0
JMAN_9005782,2023-02-10,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,5.0,0.0,Technology,01-Sep,0.0
JMAN_9023427,2023-03-03,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,5.0,0.0,Technology,01-Sep,0.0
JMAN_9002816,2023-01-27,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,0.0,0.0,3.0,0.0,Technology,01-Sep,0.0
JMAN_18391384,2023-03-10,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,,01-Sep,0.0
JMAN_9773302,2023-01-06,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,5.0,0.0,,01-Sep,0.0
JMAN_13717602,2023-03-03,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,0.0,Manufacturing & Resources,Oct-49,0.0
JMAN_2468379,2023-02-24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,3.0,0.0,Manufacturing & Resources,Oct-49,0.0
JMAN_2475116,2023-03-03,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,5.0,0.0,Manufacturing & Resources,Oct-49,0.0
JMAN_11710046,2023-01-20,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,Manufacturing & Resources,Oct-49,0.0
JMAN_11265556,2023-03-24,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,1.0,0.0,1.0,0.0,Technology,250 - 499,0.0
JMAN_9034116,2023-02-10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,3.0,0.0,"Retail, Wholesale & Distribution",Oct-49,0.0
JMAN_9744797,2023-03-03,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,5.0,0.0,Corporate Services,01-Sep,0.0
JMAN_2472023,2023-01-13,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,0.0,0.0,3.0,0.0,Corporate Services,01-Sep,0.0
JMAN_2459144,2023-02-24,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,3.0,0.0,Financial Services,Oct-49,0.0
JMAN_9810546,2023-01-20,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,26.0,1.0,0.0,1.0,0.0,Energy & Utilities,5000+,0.0
JMAN_2461321,2023-03-24,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,0.0,Technology,Oct-49,0.0
JMAN_10303029,2023-01-13,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,1.0,0.0,Manufacturing & Resources,250 - 499,0.0
JMAN_2457086,2023-03-17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,3.0,0.0,Technology,50 - 99,0.0
JMAN_2478859,2023-01-13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,3.0,0.0,Manufacturing & Resources,50 - 99,0.0
JMAN_10078002,2023-03-10,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.0,0.0,1.0,0.0,Manufacturing & Resources,5000+,0.0
JMAN_9839217,2023-03-10,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,1.0,0.0,3.0,0.0,Manufacturing & Resources,01-Sep,0.0
JMAN_9387901,2023-01-13,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,5.0,0.0,Manufacturing & Resources,500 - 999,0.0
JMAN_2460501,2023-03-10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,1.0,0.0,3.0,0.0,Technology,100 - 249,0.0
JMAN_11272416,2023-01-27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,1.0,0.0,Corporate Services,100 - 249,0.0
JMAN_9022859,2023-03-03,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,3.0,0.0,"Retail, Wholesale & Distribution",01-Sep,0.0
JMAN_2439655,2023-03-31,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,5.0,0.0,"Retail, Wholesale & Distribution",01-Sep,0.0
JMAN_10190396,2023-02-24,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,Corporate Services,250 - 499,0.0
JMAN_9552552,2023-01-20,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,5.0,0.0,Corporate Services,Oct-49,0.0
JMAN_14142262,2023-01-20,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,Technology,01-Sep,0.0
JMAN_9275311,2023-01-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,5.0,0.0,Technology,01-Sep,0.0
JMAN_9003648,2023-01-20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,6.0,0.0,Manufacturing & Resources,100 - 249,0.0
JMAN_476335,2023-02-17,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,5.0,0.0,"Retail, Wholesale & Distribution",100 - 249,0.0
JMAN_11126390,2023-02-17,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,3.0,0.0,"Retail, Wholesale & Distribution",250 - 499,0.0
JMAN_9043466,2023-02-24,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,1.0,0.0,4.0,0.0,"Retail, Wholesale & Distribution",250 - 499,0.0
JMAN_2328487,2023-03-03,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,4.0,0.0,,01-Sep,0.0
JMAN_18354320,2023-03-24,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,,01-Sep,0.0
JMAN_9004984,2023-01-27,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,5.0,0.0,Government,01-Sep,0.0
JMAN_10967092,2023-03-03,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,1.0,0.0,Manufacturing & Resources,Oct-49,0.0
JMAN_9999715,2023-02-24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,5.0,0.0,Manufacturing & Resources,Oct-49,0.0
JMAN_2458864,2023-01-20,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,3.0,0.0,Consumer Services,01-Sep,0.0
JMAN_12791979,2023-01-13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,"Retail, Wholesale & Distribution",Oct-49,0.0
JMAN_9008035,2023-02-24,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,1.0,0.0,2.0,0.0,Transportation,Oct-49,0.0
JMAN_9008035,2023-01-27,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,1.0,0.0,2.0,0.0,Transportation,Oct-49,0.0
JMAN_9203571,2023-03-17,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,1.0,0.0,4.0,0.0,Consumer Services,500 - 999,0.0
JMAN_14450264,2023-03-24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,1.0,0.0,Technology,Oct-49,0.0
JMAN_9669396,2023-02-03,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,1.0,0.0,Technology,Oct-49,0.0
JMAN_12472512,2023-02-24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,Technology,Oct-49,0.0
JMAN_9003424,2023-02-17,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,1.0,0.0,1.0,0.0,Media & Entertainment,100 - 249,0.0
JMAN_9023808,2023-01-13,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,4.0,0.0,Manufacturing & Resources,50 - 99,0.0
JMAN_9327351,2023-02-10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,1.0,0.0,3.0,0.0,Manufacturing & Resources,50 - 99,0.0
JMAN_18410807,2023-01-20,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,Financial Services,01-Sep,0.0
JMAN_2437417,2023-03-17,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,7.0,0.0,Manufacturing & Resources,01-Sep,0.0
JMAN_9021938,2023-03-24,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,4.0,0.0,Manufacturing & Resources,01-Sep,0.0
JMAN_2458020,2023-03-17,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,1.0,0.0,4.0,0.0,Financial Services,50 - 99,0.0
JMAN_13993883,2023-01-06,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,Corporate Services,100 - 249,0.0
JMAN_9071046,2023-01-13,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,1.0,0.0,1.0,0.0,"Retail, Wholesale & Distribution",01-Sep,0.0
JMAN_9026440,2023-02-17,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,5.0,0.0,Technology,01-Sep,0.0
JMAN_2463960,2023-03-31,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,5.0,0.0,Technology,01-Sep,0.0
JMAN_10364413,2023-03-17,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,2.0,0.0,Technology,01-Sep,0.0
JMAN_2449317,2023-01-13,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,4.0,0.0,Technology,01-Sep,0.0
JMAN_2473478,2023-03-31,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,5.0,0.0,Energy & Utilities,Oct-49,0.0
JMAN_2439200,2023-03-03,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,5.0,0.0,,01-Sep,0.0
JMAN_2452274,2023-01-13,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,5.0,0.0,,01-Sep,0.0
JMAN_18391348,2023-02-03,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,Government,01-Sep,0.0
JMAN_2476016,2023-03-24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,5.0,0.0,Manufacturing & Resources,Oct-49,0.0
JMAN_2453701,2023-03-10,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,3.0,0.0,Education,250 - 499,0.0
JMAN_11265556,2023-03-10,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,1.0,0.0,1.0,0.0,Technology,250 - 499,0.0
JMAN_2468805,2023-03-17,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,5.0,0.0,Corporate Services,01-Sep,0.0
JMAN_11200796,2023-03-17,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,14.0,1.0,0.0,1.0,0.0,Transportation,Oct-49,0.0
JMAN_11118444,2023-01-27,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,1.0,0.0,Financial Services,Oct-49,0.0
JMAN_9023120,2023-03-10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,2.0,0.0,Corporate Services,Oct-49,0.0
JMAN_9383192,2023-03-10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,2.0,0.0,Corporate Services,Oct-49,0.0
JMAN_9803968,2023-03-17,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,5.0,0.0,Corporate Services,Oct-49,0.0
JMAN_9031290,2023-01-13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,6.0,0.0,Technology,01-Sep,0.0
JMAN_9029087,2023-03-10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,1.0,0.0,6.0,0.0,Media & Entertainment,50 - 99,0.0
JMAN_2473827,2023-01-20,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,0.0,0.0,5.0,0.0,,Oct-49,0.0
JMAN_9086153,2023-02-10,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,1.0,0.0,5.0,0.0,"Retail, Wholesale & Distribution",500 - 999,0.0
JMAN_9003408,2023-03-24,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,Healthcare,01-Sep,0.0
JMAN_9014366,2023-03-31,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,4.0,0.0,Non-Profits & Associations,500 - 999,0.0
JMAN_2448264,2023-02-24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,5.0,0.0,"Retail, Wholesale & Distribution",Oct-49,0.0
JMAN_9026918,2023-03-17,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,5.0,0.0,Media & Entertainment,01-Sep,0.0
JMAN_2463786,2023-01-27,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,2.0,0.0,Consumer Services,Oct-49,0.0
JMAN_2461549,2023-01-20,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,5.0,0.0,Financial Services,Oct-49,0.0
JMAN_2465336,2023-02-03,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,6.0,0.0,Financial Services,1000 - 4999,0.0
JMAN_12472512,2023-02-10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,Technology,Oct-49,0.0
JMAN_2469170,2023-03-17,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,1.0,0.0,5.0,0.0,Government,Oct-49,0.0
JMAN_9037476,2023-02-03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,4.0,0.0,Manufacturing & Resources,50 - 99,0.0
JMAN_2464850,2023-03-10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,6.0,0.0,Financial Services,01-Sep,0.0
JMAN_2457464,2023-03-31,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,5.0,0.0,Manufacturing & Resources,01-Sep,0.0
JMAN_2447281,2023-02-03,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,6.0,0.0,Manufacturing & Resources,01-Sep,0.0
JMAN_2457464,2023-01-27,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,5.0,0.0,Manufacturing & Resources,01-Sep,0.0
JMAN_2450157,2023-01-13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,1.0,0.0,5.0,0.0,Technology,100 - 249,0.0
JMAN_9027650,2023-01-13,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,1.0,0.0,5.0,0.0,Corporate Services,100 - 249,0.0
JMAN_9041676,2023-03-17,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,6.0,0.0,Corporate Services,Oct-49,0.0
JMAN_9014565,2023-03-31,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,5.0,0.0,Technology,01-Sep,0.0
JMAN_9036481,2023-02-24,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,5.0,0.0,Technology,01-Sep,0.0
JMAN_9028070,2023-03-24,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,5.0,0.0,Technology,500 - 999,0.0
JMAN_2476152,2023-03-31,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,Consumer Services,01-Sep,0.0
JMAN_18057083,2023-02-03,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,0.0,0.0,1.0,0.0,Consumer Services,01-Sep,0.0
JMAN_9035528,2023-02-03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,5.0,0.0,Consumer Services,1000 - 4999,0.0
JMAN_2453581,2023-03-03,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,3.0,0.0,"Retail, Wholesale & Distribution",Oct-49,0.0
JMAN_2473799,2023-03-31,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,5.0,0.0,Corporate Services,01-Sep,0.0
JMAN_2468805,2023-03-03,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,5.0,0.0,Corporate Services,01-Sep,0.0
JMAN_2474070,2023-01-20,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,5.0,0.0,Transportation,Oct-49,0.0
JMAN_11201598,2023-03-24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,1.0,0.0,Consumer Services,Oct-49,0.0
JMAN_2379983,2023-02-17,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,4.0,0.0,Technology,Oct-49,0.0
JMAN_2457132,2023-02-03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,1.0,0.0,3.0,0.0,Technology,Oct-49,0.0
JMAN_18409956,2023-01-06,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,1.0,0.0,Transportation,01-Sep,0.0
JMAN_18149360,2023-01-20,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,Manufacturing & Resources,01-Sep,0.0
JMAN_18149360,2023-01-13,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,1.0,0.0,Manufacturing & Resources,01-Sep,0.0
JMAN_17630843,2023-03-24,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,Manufacturing & Resources,01-Sep,0.0
JMAN_9079368,2023-03-31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,3.0,0.0,"Retail, Wholesale & Distribution",01-Sep,0.0
JMAN_10592358,2023-03-10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,1.0,0.0,Corporate Services,Oct-49,0.0
JMAN_9034089,2023-03-10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,2.0,0.0,"Retail, Wholesale & Distribution",100 - 249,0.0
JMAN_18354320,2023-01-20,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,1.0,0.0,,01-Sep,0.0
JMAN_9747161,2023-03-24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,1.0,0.0,Corporate Services,01-Sep,0.0
JMAN_9034647,2023-03-31,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,0.0,0.0,5.0,0.0,Corporate Services,01-Sep,0.0
JMAN_9702646,2023-02-24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,2.0,0.0,Corporate Services,01-Sep,0.0
JMAN_9001490,2023-03-03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,4.0,0.0,Corporate Services,01-Sep,0.0
JMAN_10535735,2023-02-03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,0.0,1.0,0.0,"Retail, Wholesale & Distribution",50 - 99,0.0
JMAN_2454712,2023-02-03,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,5.0,0.0,Healthcare,Oct-49,0.0
JMAN_2453288,2023-02-17,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,4.0,0.0,Technology,Oct-49,0.0
JMAN_18410392,2023-01-27,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,Technology,Oct-49,0.0
JMAN_2319823,2023-02-10,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,4.0,0.0,Technology,Oct-49,0.0
JMAN_9129318,2023-01-06,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,1.0,0.0,1.0,0.0,Financial Services,250 - 499,0.0
JMAN_2481898,2023-03-17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,5.0,0.0,Manufacturing & Resources,50 - 99,0.0
JMAN_9004606,2023-01-06,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,1.0,0.0,Manufacturing & Resources,5000+,0.0
JMAN_2475394,2023-02-24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,1.0,0.0,4.0,0.0,Manufacturing & Resources,01-Sep,0.0
JMAN_15078349,2023-02-24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,2.0,0.0,Technology,100 - 249,0.0
JMAN_2481325,2023-03-10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,3.0,0.0,"Retail, Wholesale & Distribution",01-Sep,0.0
JMAN_2396226,2023-02-24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,5.0,0.0,"Retail, Wholesale & Distribution",01-Sep,0.0
JMAN_9021651,2023-03-10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,1.0,0.0,"Retail, Wholesale & Distribution",01-Sep,0.0
